ticket_id,org_id,type,title,priority,status,owner_team,created_at,due_at,sla_days,related_finding_id,related_alert_id,notes
TCK-3FFWPNX3,ORG-EMBER,change_request,Restrict overly broad cloud permissions,P1,closed,Security,2025-12-12T06:52:56Z,2025-12-26T06:52:56Z,14,FND-B631H8XB,,Potential business exception; document rationale if accepting risk.
TCK-NZUUAE0Q,ORG-ACME,remediation,Enable audit logging for critical event sources,P2,open,IT Ops,2025-11-05T01:10:27Z,2026-01-04T01:10:27Z,60,FND-DTSJDWLW,,Proceed via change management; schedule maintenance window if needed.
TCK-ZP06LATD,ORG-EMBER,investigation,Enforce MFA for privileged access,P1,in_progress,Data,2025-09-07T19:20:14Z,2025-09-14T19:20:14Z,7,FND-Y0LE4RTF,,Confirm impact on downstream systems before rollout.
TCK-SLXQB00E,ORG-EMBER,risk_acceptance,Harden TLS policy for internet-facing services,P2,open,Customer Apps,2025-11-29T22:31:00Z,2025-12-13T22:31:00Z,14,FND-7XLSKQQ6,,Coordinate with service owner; capture before/after evidence.
TCK-EEVV5GR6,ORG-EMBER,exception,Harden TLS policy for internet-facing services,P3,open,Infra,2025-12-26T14:20:54Z,2026-01-09T14:20:54Z,14,,,Potential business exception; document rationale if accepting risk.
TCK-ZR4GYK59,ORG-ACME,remediation,Enable audit logging for critical event sources,P4,open,Customer Apps,2025-08-30T15:09:45Z,2025-10-29T15:09:45Z,60,FND-LK5WRN77,,Potential business exception; document rationale if accepting risk.
TCK-USES7RQM,ORG-ORION,change_request,Review public exposure and confirm intended access,P4,closed,Data,2025-10-04T08:17:55Z,2025-10-11T08:17:55Z,7,,,Proceed via change management; schedule maintenance window if needed.
TCK-LCNHZA4V,ORG-EMBER,change_request,Harden TLS policy for internet-facing services,P3,ready_for_retest,Platform,2025-09-19T08:30:12Z,2025-10-03T08:30:12Z,14,FND-IDTGKKNO,,Confirm impact on downstream systems before rollout.
TCK-JZ6FASRP,ORG-ORION,change_request,Enable audit logging for critical event sources,P4,ready_for_retest,IT Ops,2025-09-07T17:39:18Z,2025-12-06T17:39:18Z,90,FND-MYO51TNJ,,Potential business exception; document rationale if accepting risk.
TCK-RN928B0J,ORG-ACME,remediation,Harden TLS policy for internet-facing services,P2,in_progress,Infra,2025-12-21T13:07:29Z,2026-01-04T13:07:29Z,14,,,Coordinate with service owner; capture before/after evidence.
TCK-BHDNEVJA,ORG-ACME,investigation,Harden TLS policy for internet-facing services,P3,blocked,Infra,2025-10-24T18:25:03Z,2025-11-23T18:25:03Z,30,FND-64KED510,ALT-1L9FX57K,Proceed via change management; schedule maintenance window if needed.
TCK-FXFQXXLV,ORG-EMBER,risk_acceptance,Restrict overly broad cloud permissions,P4,in_progress,Platform,2025-11-28T08:58:20Z,2025-12-28T08:58:20Z,30,FND-XDOTKNIX,,Coordinate with service owner; capture before/after evidence.
TCK-8Q6GY7YK,ORG-ACME,risk_acceptance,Investigate suspicious authentication activity,P3,ready_for_retest,Platform,2025-11-19T15:23:58Z,2025-11-26T15:23:58Z,7,FND-CWP8NXWN,,Confirm impact on downstream systems before rollout.
TCK-1CVFT5SN,ORG-ORION,investigation,Enforce MFA for privileged access,P2,ready_for_retest,IT Ops,2025-09-02T19:02:33Z,2025-09-09T19:02:33Z,7,FND-CWP8NXWN,,Proceed via change management; schedule maintenance window if needed.
TCK-FCYUTKNP,ORG-ACME,risk_acceptance,Review public exposure and confirm intended access,P3,in_progress,Infra,2025-09-29T23:58:27Z,2025-11-28T23:58:27Z,60,FND-1M6P09WH,,Confirm impact on downstream systems before rollout.
TCK-IW7GNMAP,ORG-EMBER,remediation,Enforce MFA for privileged access,P1,in_progress,Payments,2025-10-16T03:06:31Z,2026-01-14T03:06:31Z,90,FND-7V2K6OY0,,Proceed via change management; schedule maintenance window if needed.
TCK-EXC7C421,ORG-ORION,change_request,Investigate suspicious authentication activity,P4,closed,Customer Apps,2025-12-30T03:15:46Z,2026-01-29T03:15:46Z,30,,,Coordinate with service owner; capture before/after evidence.
TCK-M391T93U,ORG-ACME,change_request,Investigate suspicious authentication activity,P2,ready_for_retest,Data,2025-10-13T23:42:53Z,2025-10-20T23:42:53Z,7,FND-IASHZQGG,,Coordinate with service owner; capture before/after evidence.
TCK-VY4ROXDG,ORG-EMBER,remediation,Harden TLS policy for internet-facing services,P4,in_progress,Data,2025-08-31T16:30:38Z,2025-09-14T16:30:38Z,14,,,Potential business exception; document rationale if accepting risk.
TCK-S80SWRMY,ORG-ACME,exception,Investigate suspicious authentication activity,P2,open,IT Ops,2025-12-12T12:12:08Z,2025-12-19T12:12:08Z,7,FND-LUY6RVHY,,Confirm impact on downstream systems before rollout.
TCK-C9WHTG9M,ORG-EMBER,investigation,Restrict overly broad cloud permissions,P1,open,Payments,2025-10-19T04:55:05Z,2025-10-26T04:55:05Z,7,,ALT-HEAL2SIR,Confirm impact on downstream systems before rollout.
TCK-DNDK2RKO,ORG-ACME,risk_acceptance,Investigate suspicious authentication activity,P4,open,Platform,2025-12-24T00:24:59Z,2025-12-31T00:24:59Z,7,FND-1MSN0B1H,,Confirm impact on downstream systems before rollout.
TCK-0EAII9VT,ORG-ACME,risk_acceptance,Enforce MFA for privileged access,P2,closed,Infra,2025-10-28T20:45:52Z,2025-11-11T20:45:52Z,14,FND-3G2DMQZS,,Confirm impact on downstream systems before rollout.
TCK-T52MX3Z8,ORG-EMBER,investigation,Review public exposure and confirm intended access,P1,blocked,Payments,2025-11-15T21:57:00Z,2026-01-14T21:57:00Z,60,FND-WZ8H1KJ3,ALT-UGER5UAH,Coordinate with service owner; capture before/after evidence.
TCK-OOJ2SR4F,ORG-ORION,remediation,Harden TLS policy for internet-facing services,P4,closed,Security,2025-08-30T10:56:42Z,2025-10-29T10:56:42Z,60,,,Confirm impact on downstream systems before rollout.
TCK-1METWBRF,ORG-ACME,investigation,Enable audit logging for critical event sources,P2,open,IT Ops,2025-09-01T23:52:01Z,2025-11-30T23:52:01Z,90,FND-EZG1Z785,ALT-Z9VG4U2E,Proceed via change management; schedule maintenance window if needed.
TCK-BOSGFOAM,ORG-EMBER,risk_acceptance,Review public exposure and confirm intended access,P2,blocked,Payments,2025-08-18T20:49:48Z,2025-11-16T20:49:48Z,90,,,Confirm impact on downstream systems before rollout.
TCK-6G6MMK2W,ORG-ACME,investigation,Restrict overly broad cloud permissions,P1,blocked,Customer Apps,2025-11-30T15:07:02Z,2026-02-28T15:07:02Z,90,FND-M0UG0E1F,,Coordinate with service owner; capture before/after evidence.
TCK-0WS87M3J,ORG-EMBER,change_request,Review public exposure and confirm intended access,P2,open,Customer Apps,2025-11-02T23:21:00Z,2026-01-31T23:21:00Z,90,FND-O1B7N2Q3,,Potential business exception; document rationale if accepting risk.
TCK-6CJET4F3,ORG-ORION,investigation,Enforce MFA for privileged access,P4,closed,Security,2025-10-09T15:50:40Z,2025-12-08T15:50:40Z,60,FND-NEAU8KML,ALT-CRVNO799,Proceed via change management; schedule maintenance window if needed.
TCK-JA7H8SJO,ORG-EMBER,remediation,Harden TLS policy for internet-facing services,P1,closed,Security,2025-09-06T06:30:31Z,2025-12-05T06:30:31Z,90,FND-O1B7N2Q3,,Proceed via change management; schedule maintenance window if needed.
TCK-V9EQXH4N,ORG-EMBER,remediation,Review public exposure and confirm intended access,P2,in_progress,Customer Apps,2025-09-15T11:01:46Z,2025-11-14T11:01:46Z,60,FND-KV85ROKF,,Potential business exception; document rationale if accepting risk.
TCK-O9U5IITA,ORG-ORION,remediation,Investigate suspicious authentication activity,P1,blocked,Data,2025-12-24T23:06:25Z,2026-02-22T23:06:25Z,60,FND-CU6HHJ4J,,Coordinate with service owner; capture before/after evidence.
TCK-L4PO7YTZ,ORG-EMBER,investigation,Harden TLS policy for internet-facing services,P3,open,IT Ops,2025-09-17T17:11:00Z,2025-12-16T17:11:00Z,90,,ALT-QIKM5CDE,Confirm impact on downstream systems before rollout.
TCK-BVMS4KS1,ORG-EMBER,exception,Review public exposure and confirm intended access,P3,in_progress,Platform,2025-12-21T00:56:05Z,2026-02-19T00:56:05Z,60,,,Confirm impact on downstream systems before rollout.
TCK-UUSWZPQ8,ORG-ORION,exception,Restrict overly broad cloud permissions,P1,open,Infra,2025-12-22T05:10:08Z,2026-01-21T05:10:08Z,30,,,Confirm impact on downstream systems before rollout.
TCK-EEZH0DDL,ORG-ORION,exception,Review public exposure and confirm intended access,P3,open,Customer Apps,2025-10-30T02:33:38Z,2026-01-28T02:33:38Z,90,FND-BEDM72L3,,Potential business exception; document rationale if accepting risk.
TCK-K86VVZC9,ORG-ORION,exception,Review public exposure and confirm intended access,P1,closed,Payments,2025-10-01T22:06:00Z,2025-11-30T22:06:00Z,60,FND-1UWGQ4OD,,Potential business exception; document rationale if accepting risk.
TCK-NI7SYS1K,ORG-EMBER,investigation,Review public exposure and confirm intended access,P1,closed,Customer Apps,2025-12-17T06:13:42Z,2026-02-15T06:13:42Z,60,,ALT-89AZ3QQN,Confirm impact on downstream systems before rollout.
TCK-YA1LKPF1,ORG-EMBER,risk_acceptance,Harden TLS policy for internet-facing services,P4,ready_for_retest,Data,2025-09-28T19:07:18Z,2025-10-12T19:07:18Z,14,FND-K524JHBT,,Confirm impact on downstream systems before rollout.
TCK-HNTQN812,ORG-EMBER,exception,Review public exposure and confirm intended access,P1,ready_for_retest,Payments,2025-10-20T17:37:04Z,2025-12-19T17:37:04Z,60,FND-BUHM60PE,,Proceed via change management; schedule maintenance window if needed.
TCK-A91WJBGC,ORG-ORION,remediation,Restrict overly broad cloud permissions,P3,closed,IT Ops,2025-08-20T15:04:19Z,2025-08-27T15:04:19Z,7,FND-0XS57Q6J,,Proceed via change management; schedule maintenance window if needed.
TCK-9CQU5D4J,ORG-ACME,exception,Harden TLS policy for internet-facing services,P1,closed,Payments,2025-08-10T23:04:16Z,2025-08-17T23:04:16Z,7,,,Coordinate with service owner; capture before/after evidence.
TCK-9LTZAXBO,ORG-EMBER,risk_acceptance,Investigate suspicious authentication activity,P4,in_progress,Security,2025-10-03T11:06:07Z,2025-12-02T11:06:07Z,60,FND-IY8MC6Y2,,Potential business exception; document rationale if accepting risk.
TCK-ONWUCQ7L,ORG-ORION,exception,Review public exposure and confirm intended access,P4,open,Platform,2025-12-08T17:29:31Z,2025-12-22T17:29:31Z,14,,,Proceed via change management; schedule maintenance window if needed.
TCK-XUD0QCN7,ORG-EMBER,change_request,Investigate suspicious authentication activity,P3,blocked,Security,2025-12-19T02:18:32Z,2025-12-26T02:18:32Z,7,,,Coordinate with service owner; capture before/after evidence.
TCK-0YDUS1YA,ORG-ORION,remediation,Harden TLS policy for internet-facing services,P3,blocked,Customer Apps,2025-11-21T15:57:50Z,2025-11-28T15:57:50Z,7,,,Proceed via change management; schedule maintenance window if needed.
TCK-EKPLX43W,ORG-EMBER,investigation,Review public exposure and confirm intended access,P2,blocked,IT Ops,2025-10-14T20:19:10Z,2025-12-13T20:19:10Z,60,FND-IASHZQGG,ALT-ZVF84GH5,Potential business exception; document rationale if accepting risk.
TCK-Z7N0YMTU,ORG-ORION,remediation,Review public exposure and confirm intended access,P3,in_progress,Data,2025-09-22T20:52:22Z,2025-11-21T20:52:22Z,60,,,Coordinate with service owner; capture before/after evidence.
TCK-6D4I432Z,ORG-ACME,risk_acceptance,Restrict overly broad cloud permissions,P2,in_progress,Payments,2025-10-28T20:09:23Z,2025-11-04T20:09:23Z,7,FND-H2T1RB1H,,Coordinate with service owner; capture before/after evidence.
TCK-7TNDFHQV,ORG-ORION,remediation,Harden TLS policy for internet-facing services,P4,closed,Payments,2025-08-31T16:25:54Z,2025-09-30T16:25:54Z,30,FND-E2UD9211,,Proceed via change management; schedule maintenance window if needed.
TCK-3MWTHBL8,ORG-ACME,remediation,Harden TLS policy for internet-facing services,P1,blocked,Data,2025-09-07T09:18:32Z,2025-11-06T09:18:32Z,60,FND-9O03NPNM,,Coordinate with service owner; capture before/after evidence.
TCK-ER9NCTGS,ORG-EMBER,investigation,Harden TLS policy for internet-facing services,P1,blocked,IT Ops,2025-12-11T01:50:14Z,2025-12-25T01:50:14Z,14,FND-OTMI22F2,,Confirm impact on downstream systems before rollout.
TCK-AIJJ3SGJ,ORG-EMBER,change_request,Enforce MFA for privileged access,P1,blocked,Infra,2025-10-05T20:29:32Z,2025-10-12T20:29:32Z,7,,,Proceed via change management; schedule maintenance window if needed.
TCK-LTJ92O8J,ORG-EMBER,investigation,Restrict overly broad cloud permissions,P3,open,Payments,2025-12-14T22:50:05Z,2026-02-12T22:50:05Z,60,FND-G52DW19O,,Coordinate with service owner; capture before/after evidence.
TCK-0VE2RLDO,ORG-ORION,risk_acceptance,Review public exposure and confirm intended access,P3,blocked,Security,2025-12-01T08:50:41Z,2026-01-30T08:50:41Z,60,FND-M0UG0E1F,,Potential business exception; document rationale if accepting risk.
TCK-Y7VEAYBL,ORG-ACME,risk_acceptance,Enable audit logging for critical event sources,P4,in_progress,Platform,2025-09-24T03:20:33Z,2025-10-08T03:20:33Z,14,,,Potential business exception; document rationale if accepting risk.
TCK-0L06ZEUQ,ORG-ACME,change_request,Investigate suspicious authentication activity,P3,in_progress,IT Ops,2025-10-19T22:26:47Z,2025-12-18T22:26:47Z,60,FND-VXIXE8T7,,Coordinate with service owner; capture before/after evidence.
TCK-R8O5QRQV,ORG-ORION,exception,Restrict overly broad cloud permissions,P1,closed,Security,2025-10-18T19:29:44Z,2026-01-16T19:29:44Z,90,FND-7U6U9BQT,,Potential business exception; document rationale if accepting risk.
TCK-YTHDLC9Q,ORG-EMBER,remediation,Harden TLS policy for internet-facing services,P3,in_progress,Infra,2025-11-22T05:48:15Z,2026-02-20T05:48:15Z,90,FND-EKTHN4VU,,Potential business exception; document rationale if accepting risk.
TCK-ARJ4DP3L,ORG-ORION,risk_acceptance,Enable audit logging for critical event sources,P4,closed,Platform,2025-12-24T22:13:14Z,2026-01-23T22:13:14Z,30,FND-9DSB0EMM,,Coordinate with service owner; capture before/after evidence.
TCK-L6KZJ8A3,ORG-EMBER,investigation,Harden TLS policy for internet-facing services,P3,ready_for_retest,Platform,2025-12-09T04:34:59Z,2026-02-07T04:34:59Z,60,,ALT-D56MQUZD,Potential business exception; document rationale if accepting risk.
TCK-JM4I6RHD,ORG-ACME,exception,Enable audit logging for critical event sources,P2,ready_for_retest,Data,2025-09-14T09:39:27Z,2025-09-21T09:39:27Z,7,FND-DKDKHB3J,,Proceed via change management; schedule maintenance window if needed.
TCK-XAYMS2DF,ORG-EMBER,investigation,Restrict overly broad cloud permissions,P4,ready_for_retest,Security,2025-08-23T21:52:22Z,2025-09-06T21:52:22Z,14,FND-2Z0JJVB7,ALT-CGBAETQ6,Potential business exception; document rationale if accepting risk.
TCK-2EM4ZEB5,ORG-EMBER,exception,Enable audit logging for critical event sources,P4,ready_for_retest,Platform,2025-11-01T03:50:24Z,2025-12-31T03:50:24Z,60,,,Potential business exception; document rationale if accepting risk.
TCK-9SJFDR67,ORG-ORION,risk_acceptance,Investigate suspicious authentication activity,P3,ready_for_retest,Security,2025-08-18T09:30:37Z,2025-10-17T09:30:37Z,60,,,Potential business exception; document rationale if accepting risk.
TCK-V9YQM8TY,ORG-ORION,risk_acceptance,Harden TLS policy for internet-facing services,P3,ready_for_retest,Infra,2025-10-08T00:00:15Z,2026-01-06T00:00:15Z,90,FND-3JSTVA3Q,,Proceed via change management; schedule maintenance window if needed.
TCK-HVAW3HXH,ORG-EMBER,change_request,Investigate suspicious authentication activity,P2,ready_for_retest,Data,2025-11-29T20:13:48Z,2025-12-29T20:13:48Z,30,,,Coordinate with service owner; capture before/after evidence.
TCK-V8NGY021,ORG-ORION,investigation,Restrict overly broad cloud permissions,P3,open,IT Ops,2025-09-15T06:09:35Z,2025-09-22T06:09:35Z,7,,,Coordinate with service owner; capture before/after evidence.
TCK-UUX4Z7TQ,ORG-ACME,investigation,Review public exposure and confirm intended access,P2,open,Payments,2025-12-14T00:33:19Z,2026-01-13T00:33:19Z,30,FND-U1ERGXYH,ALT-GBKUS3W8,Proceed via change management; schedule maintenance window if needed.
TCK-JWKVU8AA,ORG-EMBER,remediation,Enable audit logging for critical event sources,P4,ready_for_retest,Data,2025-09-01T17:11:00Z,2025-10-31T17:11:00Z,60,FND-1YXJXLYZ,,Coordinate with service owner; capture before/after evidence.
TCK-8REFIOTS,ORG-ORION,risk_acceptance,Enforce MFA for privileged access,P1,blocked,Security,2025-08-14T22:11:35Z,2025-08-21T22:11:35Z,7,,,Potential business exception; document rationale if accepting risk.
TCK-39IHC3DZ,ORG-ACME,exception,Harden TLS policy for internet-facing services,P3,in_progress,Platform,2025-11-19T19:17:27Z,2025-12-03T19:17:27Z,14,,,Proceed via change management; schedule maintenance window if needed.
TCK-NSR3UQN8,ORG-ACME,change_request,Enforce MFA for privileged access,P4,open,Data,2025-11-27T19:10:05Z,2025-12-27T19:10:05Z,30,,,Coordinate with service owner; capture before/after evidence.
TCK-MISZVP4M,ORG-EMBER,risk_acceptance,Restrict overly broad cloud permissions,P3,ready_for_retest,Data,2025-09-30T08:49:51Z,2025-10-14T08:49:51Z,14,FND-1OD5AW6T,,Coordinate with service owner; capture before/after evidence.
TCK-X8MH18WF,ORG-EMBER,remediation,Review public exposure and confirm intended access,P2,ready_for_retest,Customer Apps,2025-09-12T12:23:50Z,2025-12-11T12:23:50Z,90,FND-2VQBSDXE,,Potential business exception; document rationale if accepting risk.
TCK-6LJEEZOG,ORG-ORION,risk_acceptance,Enable audit logging for critical event sources,P3,ready_for_retest,Platform,2025-09-17T22:50:03Z,2025-09-24T22:50:03Z,7,FND-485T6249,,Potential business exception; document rationale if accepting risk.
TCK-WQBWRNK0,ORG-EMBER,risk_acceptance,Review public exposure and confirm intended access,P4,in_progress,Data,2025-08-08T19:21:51Z,2025-11-06T19:21:51Z,90,,,Coordinate with service owner; capture before/after evidence.
TCK-EF4W5VUQ,ORG-EMBER,risk_acceptance,Enable audit logging for critical event sources,P3,closed,Security,2025-08-16T18:47:51Z,2025-08-23T18:47:51Z,7,FND-HQCJ3B22,,Potential business exception; document rationale if accepting risk.
TCK-G5359NS6,ORG-ACME,investigation,Enable audit logging for critical event sources,P2,ready_for_retest,Payments,2025-11-13T21:03:54Z,2026-02-11T21:03:54Z,90,FND-05ZQDMX3,ALT-UKQBQUNZ,Confirm impact on downstream systems before rollout.
TCK-10YIETQJ,ORG-EMBER,investigation,Investigate suspicious authentication activity,P4,ready_for_retest,Customer Apps,2025-10-28T20:09:50Z,2025-11-27T20:09:50Z,30,FND-P31MSOAC,,Proceed via change management; schedule maintenance window if needed.
TCK-WHI3NNSM,ORG-ACME,investigation,Harden TLS policy for internet-facing services,P3,open,IT Ops,2025-08-21T23:35:50Z,2025-09-04T23:35:50Z,14,,ALT-NPPKN4EW,Proceed via change management; schedule maintenance window if needed.
TCK-13NM30QQ,ORG-ORION,risk_acceptance,Review public exposure and confirm intended access,P3,in_progress,Infra,2025-09-18T07:12:19Z,2025-11-17T07:12:19Z,60,FND-ITKTKEZJ,,Potential business exception; document rationale if accepting risk.
TCK-XAXIX54T,ORG-ORION,change_request,Review public exposure and confirm intended access,P2,ready_for_retest,Security,2025-12-11T16:09:59Z,2025-12-18T16:09:59Z,7,,,Potential business exception; document rationale if accepting risk.
TCK-HQYI9HYJ,ORG-EMBER,remediation,Restrict overly broad cloud permissions,P4,in_progress,Payments,2025-12-27T02:42:44Z,2026-03-27T02:42:44Z,90,FND-8YYKJN3V,,Proceed via change management; schedule maintenance window if needed.
TCK-YGQLYFRR,ORG-ACME,risk_acceptance,Investigate suspicious authentication activity,P3,in_progress,Infra,2025-10-19T06:08:18Z,2025-10-26T06:08:18Z,7,,,Potential business exception; document rationale if accepting risk.
TCK-ITAXFX0D,ORG-EMBER,investigation,Enforce MFA for privileged access,P2,closed,Data,2025-11-28T12:11:00Z,2026-02-26T12:11:00Z,90,,ALT-JQK2HRVA,Coordinate with service owner; capture before/after evidence.
TCK-ZG8X394V,ORG-ORION,risk_acceptance,Enable audit logging for critical event sources,P4,blocked,Infra,2025-11-28T19:39:53Z,2026-01-27T19:39:53Z,60,FND-DUJF8W0V,,Proceed via change management; schedule maintenance window if needed.
TCK-WBLS74TH,ORG-EMBER,change_request,Enforce MFA for privileged access,P2,blocked,Customer Apps,2025-08-27T13:08:50Z,2025-09-03T13:08:50Z,7,FND-AJW48ANG,,Coordinate with service owner; capture before/after evidence.
TCK-2ZORSIQA,ORG-EMBER,investigation,Harden TLS policy for internet-facing services,P2,open,Infra,2025-09-06T11:13:23Z,2025-10-06T11:13:23Z,30,,ALT-J7NCD875,Proceed via change management; schedule maintenance window if needed.
TCK-0YQG6SKP,ORG-EMBER,risk_acceptance,Investigate suspicious authentication activity,P3,in_progress,IT Ops,2025-09-28T22:43:34Z,2025-10-28T22:43:34Z,30,,,Confirm impact on downstream systems before rollout.
TCK-YCMJ7WXV,ORG-EMBER,change_request,Enforce MFA for privileged access,P2,blocked,Infra,2025-10-07T05:14:07Z,2025-10-21T05:14:07Z,14,,,Proceed via change management; schedule maintenance window if needed.
TCK-EFMMGX6T,ORG-ACME,change_request,Investigate suspicious authentication activity,P3,blocked,IT Ops,2025-12-06T10:09:40Z,2025-12-13T10:09:40Z,7,FND-UZ0B6CD8,,Confirm impact on downstream systems before rollout.
TCK-QUW9XJ4V,ORG-EMBER,risk_acceptance,Enforce MFA for privileged access,P2,closed,Data,2025-10-04T17:00:20Z,2025-10-18T17:00:20Z,14,FND-5ZO47GYG,,Confirm impact on downstream systems before rollout.
TCK-W7POB1D6,ORG-ORION,remediation,Harden TLS policy for internet-facing services,P4,blocked,Security,2025-08-30T11:43:06Z,2025-09-06T11:43:06Z,7,FND-J0KP03FG,,Potential business exception; document rationale if accepting risk.
TCK-PKL7EQ06,ORG-EMBER,change_request,Investigate suspicious authentication activity,P1,blocked,Payments,2025-10-17T11:47:11Z,2025-10-24T11:47:11Z,7,FND-P4JTMTOM,,Confirm impact on downstream systems before rollout.
TCK-4IREFQOK,ORG-EMBER,exception,Enforce MFA for privileged access,P1,open,Platform,2025-08-26T00:53:30Z,2025-10-25T00:53:30Z,60,,,Confirm impact on downstream systems before rollout.
TCK-MCVEMSCQ,ORG-ACME,risk_acceptance,Enforce MFA for privileged access,P3,closed,Customer Apps,2025-09-29T03:15:13Z,2025-10-29T03:15:13Z,30,FND-7BAI2FT1,,Confirm impact on downstream systems before rollout.
TCK-IJLTS0OP,ORG-ACME,remediation,Enforce MFA for privileged access,P3,open,Payments,2025-09-11T07:58:14Z,2025-09-25T07:58:14Z,14,FND-G1RSM7FN,,Confirm impact on downstream systems before rollout.
TCK-UZKKI7QQ,ORG-ORION,exception,Restrict overly broad cloud permissions,P1,open,Platform,2025-12-29T13:45:05Z,2026-01-28T13:45:05Z,30,,,Coordinate with service owner; capture before/after evidence.
TCK-JRWPA23W,ORG-ORION,investigation,Restrict overly broad cloud permissions,P1,in_progress,Data,2025-09-19T15:52:48Z,2025-12-18T15:52:48Z,90,,ALT-SZL9HX49,Potential business exception; document rationale if accepting risk.
TCK-YPFP3FYY,ORG-ACME,remediation,Enforce MFA for privileged access,P2,closed,IT Ops,2025-09-01T11:26:22Z,2025-09-08T11:26:22Z,7,FND-F6PEE0TA,,Potential business exception; document rationale if accepting risk.
TCK-2BVGJFSI,ORG-EMBER,risk_acceptance,Restrict overly broad cloud permissions,P2,in_progress,Data,2025-10-08T20:26:38Z,2025-12-07T20:26:38Z,60,,,Coordinate with service owner; capture before/after evidence.
TCK-6ENWOJNM,ORG-ACME,investigation,Harden TLS policy for internet-facing services,P3,blocked,Security,2025-11-17T14:31:40Z,2026-01-16T14:31:40Z,60,FND-AU5CW5GR,,Proceed via change management; schedule maintenance window if needed.
TCK-JHRDIADG,ORG-EMBER,exception,Harden TLS policy for internet-facing services,P3,closed,Payments,2025-12-23T00:39:04Z,2026-01-06T00:39:04Z,14,FND-UZ22VCVT,,Coordinate with service owner; capture before/after evidence.
TCK-LOM7L1CY,ORG-EMBER,risk_acceptance,Enable audit logging for critical event sources,P1,open,Data,2025-12-18T14:26:57Z,2026-03-18T14:26:57Z,90,FND-8QAQM7S8,,Confirm impact on downstream systems before rollout.
